Versuchsreihe	Name Probe	Sonotrode	Amplitude	Schweißzeit	Schweißkraft	Verbund	Zugscherkraft
Name	Name		µm	ms	N	ja/nein	N
2505001	N37 2505001	T 2022 PG-ZM4	55	3500	240	ja	507.8536072
2505001	N49 2505001	T 2022 PG-ZM4	55	3500	300	ja	1782.69751
2505001	N40 2505001	T 2022 PG-ZM4	55	3000	270	ja	2007.318848
2505001	N20 2505001	T 2022 PG-ZM4	55	3000	270	ja	917.2438354
2505001	N34 2505001	T 2022 PG-ZM4	55	3000	240	ja	2348.56958
2505001	N48 2505001	T 2022 PG-ZM4	55	3500	270	ja	1502.730103
2505001	N30 2505001	T 2022 PG-ZM4	55	3000	270	ja	1993.796265
2505001	N31 2505001	T 2022 PG-ZM4	55	2500	240	ja	1275.417969
2505001	N41 2505001	T 2022 PG-ZM4	55	2500	240	ja	1473.29126
2505003	N37 2505003	T 2022 PG-ZM4	49.5	4500	240	ja	614.9680176
2505003	N18 2505003	T 2022 PG-ZM4	49.5	4500	270	ja	911.8456421
2505003	N10 2505003	T 2022 PG-ZM4	49.5	4000	270	ja	1354.794922
2505003	N40 2505003	T 2022 PG-ZM4	49.5	4000	270	ja	808.9069824
2505003	N42 2505003	T 2022 PG-ZM4	49.5	3500	270	ja	843.171875
2505003	N32 2505003	T 2022 PG-ZM4	49.5	3500	270	ja	1323.38855
2505003	N39 2505003	T 2022 PG-ZM4	49.5	4500	300	ja	1156.179077
2505003	N17 2505003	T 2022 PG-ZM4	49.5	4500	240	ja	1201.664673
2505003	N12v2 2505003	T 2022 PG-ZM4	49.5	3500	270	ja	2224.624023
2505003	N41 2505003	T 2022 PG-ZM4	49.5	3500	240	ja	1198.775269
2505003	N28 2505003	T 2022 PG-ZM4	49.5	4500	270	ja	1398.661255
2505003	N14 2505003	T 2022 PG-ZM4	49.5	4000	240	ja	1980.534912
2505003	N6 2505003	T 2022 PG-ZM4	49.5	4000	300	ja	578.3480225
2505003	N3 2505003	T 2022 PG-ZM4	49.5	3500	300	ja	827.4856567
2505003	N31 2505003	T 2022 PG-ZM4	49.5	3500	240	ja	1434.790894
2505003	N44 2505003	T 2022 PG-ZM4	49.5	4000	240	ja	1456.549683
2505003	N23 2505003	T 2022 PG-ZM4	49.5	3500	300	ja	943.9041138
2505003	N15 2505003	T 2022 PG-ZM4	49.5	4000	270	ja	1854.896729
2505003	N4 2505003	T 2022 PG-ZM4	49.5	4000	240	ja	1294.699829
2505003	N45 2505003	T 2022 PG-ZM4	49.5	4000	270	ja	404.3093872
2505003	N22 2505003	T 2022 PG-ZM4	49.5	3500	270	ja	1244.592773
2505003	N25 2505003	T 2022 PG-ZM4	49.5	4000	270	ja	1320.860474
2505003	N7 2505003	T 2022 PG-ZM4	49.5	4500	240	ja	2302.525391
2505003	N13 2505003	T 2022 PG-ZM4	49.5	3500	300	ja	1175.625
2505003	N2 2505003	T 2022 PG-ZM4	49.5	3500	270	ja	1234.178833
2505003	N33 2505003	T 2022 PG-ZM4	49.5	3500	300	ja	2401.49145507813
2505003	N1 2505003	T 2022 PG-ZM4	49.5	3500	240	ja	1061.12890625
2505003	N43 2505003	T 2022 PG-ZM4	49.5	3500	300	ja	2681.60595703125
2505003	N11 2505003	T 2022 PG-ZM4	49.5	3500	240	ja	750.702880859375
2505003	N8 2505003	T 2022 PG-ZM4	49.5	4500	270	ja	2613.47802734375
2505003	N26 2505003	T 2022 PG-ZM4	49.5	4000	300	ja	2684.44848632813
2505003	N5 2505003	T 2022 PG-ZM4	49.5	4000	270	ja	2463.35961914063
2505003	N19 2505003	T 2022 PG-ZM4	49.5	4500	300	ja	2674.16162109375
2505003	N47 2505003	T 2022 PG-ZM4	49.5	4500	240	ja	1401.96264648438
2505003	N35 2505003	T 2022 PG-ZM4	49.5	4000	270	ja	2741.56640625
2505003	N50 2505003	T 2022 PG-ZM4	49.5	4000	270	ja	2081.91259765625
2505003	N36 2505003	T 2022 PG-ZM4	49.5	4000	300	ja	2710.54150390625
2505003	N21 2505003	T 2022 PG-ZM4	49.5	3500	240	ja	1550.38012695313
2505003	N27 2505003	T 2022 PG-ZM4	49.5	4500	240	ja	2434.40991210938
2505003	N30 2505003	T 2022 PG-ZM4	49.5	4000	270	ja	1749.20983886719
2505003	N46 2505003	T 2022 PG-ZM4	49.5	4000	300	ja	2700.5966796875
2505003	N22 2505003	T 2022 PG-ZM4	49.5	3500	270	ja	2379.84545898438
2505003	N49 2505003	T 2022 PG-ZM4	49.5	4500	300	ja	2595.75854492188
2505003	N24 2505003	T 2022 PG-ZM4	49.5	4000	240	ja	2122.69506835938
2505003	N20 2505003	T 2022 PG-ZM4	49.5	4000	270	ja	2143.2607421875
2505003	N9 V2 2505003	T 2022 PG-ZM4	49.5	4500	300	ja	2680.85302734375
2505003	N16 2505003	T 2022 PG-ZM4	49.5	4000	300	ja	2695.02612304688

